iter	Passed	Remaining
146	4206	24410
147	4207	24220
148	4207	24033
149	4208	23848
150	4209	23666
151	4209	23486
152	4210	23309
153	4211	23133
154	4211	22960
155	4212	22789
156	4212	22620
157	4213	22453
158	4214	22289
159	4214	22127
160	4215	21965
161	4215	21807
162	4216	21651
163	4217	21498
164	4218	21345
165	4218	21194
166	4219	21045
167	4219	20898
168	4220	20752
169	4221	20608
170	4221	20466
171	4222	20325
172	4222	20186
173	4223	20049
174	4224	19913
175	4224	19778
176	4225	19645
177	4225	19514
178	4226	19384
179	4226	19256
180	4227	19129
181	4228	19003
182	4228	18879
183	4229	18756
184	4229	18634
185	4230	18514
186	4231	18395
187	4232	18278
188	4232	18162
189	4233	18047
190	4233	17933
191	4234	17820
192	4235	17708
193	4235	17598
194	4236	17488
195	4236	17380
196	4237	17272
197	4238	17166
198	4238	17061
199	4239	16957
200	4239	16854
201	4240	16752
202	4241	16651
203	4241	16551
204	4242	16452
205	4242	16353
206	4243	16256
207	4244	16160
208	4244	16065
209	4245	15970
210	4246	15877
211	4246	15785
212	4247	15694
213	4248	15603
214	4248	15513
215	4249	15424
216	4250	15335
217	4250	15247
218	4251	15160
219	4251	15074
220	4252	14989
221	4253	14904
222	4253	14820
223	4254	14737
224	4254	14655
225	4255	14573
226	4256	14493
227	4256	14412
228	4257	14333
229	4257	14254
230	4258	14176
231	4259	14099
232	4259	14022
233	4260	13946
234	4260	13870
235	4261	13796
236	4262	13722
237	4263	13648
238	4263	13575
239	4264	13503
240	4265	13432
241	4265	13361
242	4266	13290
243	4266	13220
244	4267	13151
245	4268	13082
246	4268	13013
247	4269	12945
248	4269	12878
249	4270	12811
250	4271	12745
251	4271	12679
252	4272	12614
253	4272	12549
254	4273	12485
255	4274	12421
256	4274	12358
257	4275	12295
258	4275	12233
259	4276	12171
260	4277	12110
261	4278	12050
262	4278	11989
263	4279	11930
264	4279	11870
265	4280	11811
266	4281	11752
267	4281	11694
268	4282	11636
269	4282	11579
270	4283	11522
271	4284	11466
272	4284	11410
273	4285	11354
274	4285	11298
275	4286	11244
276	4287	11189
277	4287	11135
278	4288	11081
279	4288	11028
280	4289	10975
281	4290	10923
282	4290	10870
283	4291	10819
284	4292	10768
285	4293	10717
286	4293	10666
287	4294	10616
288	4295	10566
289	4295	10517
290	4296	10468
291	4297	10420
292	4298	10371
293	4298	10323
294	4299	10275
295	4300	10227
296	4300	10179
297	4301	10132
298	4301	10085
299	4302	10039
300	4303	9993
301	4303	9947
302	4304	9901
303	4304	9856
304	4305	9811
305	4306	9766
306	4306	9721
307	4307	9678
308	4308	9634
309	4309	9591
310	4309	9548
311	4310	9504
312	4310	9462
313	4311	9419
314	4312	9377
315	4312	9335
316	4313	9293
317	4314	9252
318	4314	9210
319	4315	9169
320	4315	9129
321	4316	9088
322	4316	9048
323	4317	9008
324	4318	8968
325	4318	8929
326	4319	8889
327	4320	8850
328	4320	8812
329	4321	8773
330	4321	8735
331	4322	8697
332	4323	8659
333	4324	8622
334	4324	8584
335	4325	8547
336	4326	8510
337	4326	8473
338	4327	8437
339	4327	8401
340	4328	8365
341	4329	8329
342	4332	8299
343	4336	8269
344	4340	8240
345	4344	8212
346	4348	8182
347	4351	8152
348	4353	8120
349	4354	8087
350	4356	8054
351	4358	8022
352	4359	7990
353	4360	7957
354	4362	7925
355	4363	7893
356	4365	7861
357	4366	7830
358	4367	7799
359	4369	7768
360	4371	7737
361	4372	7706
362	4373	7675
363	4375	7645
364	4376	7614
365	4378	7584
366	4379	7553
367	4381	7523
368	4382	7494
369	4383	7463
370	4384	7432
371	4384	7402
372	4385	7372
373	4386	7341
374	4386	7311
375	4387	7281
376	4387	7251
377	4388	7221
378	4389	7191
379	4389	7162
380	4390	7132
381	4390	7103
382	4391	7074
383	4392	7045
384	4392	7017
385	4393	6988
386	4393	6959
387	4394	6931
388	4395	6903
389	4395	6875
390	4396	6847
391	4396	6819
392	4397	6792
393	4398	6764
394	4398	6737
395	4399	6710
396	4400	6683
397	4401	6657
